rms_ch_0,rms_ch_1,rms_ch_2,rms_ch_3,rms_ch_4,rms_ch_5,rms_ch_6,rms_ch_7,rms_ch_8,rms_ch_9,rms_ch_10,rms_ch_11,rms_ch_12,rms_ch_13,rms_ch_14,rms_ch_15,gesture
5.4621425,9.250946,2.383275,1.5763882,1.3472193,1.1575837,1.4696939,3.8098557,2.5758495,4.014972,1.7190113,1.5132746,1.4142135,1.4370108,1.5116217,2.0880613,REST
5.0189643,6.3792634,2.0024984,1.5524175,1.317194,1.161895,1.4577379,3.2116973,2.1908903,2.6944387,1.6109004,1.4422204,1.3910427,1.421267,1.4983324,2.0236106,REST
4.865696,2.9991665,1.8506756,1.5411035,1.3416407,1.1916375,1.4265343,3.3007576,2.1,2.2759614,1.6248077,1.4491377,1.4124447,1.4017845,1.4849242,1.9157244,REST
4.13884,2.930017,1.7986106,1.5231546,1.3304135,1.1916375,1.459452,3.7161808,3.2093613,3.1241,1.6186414,1.4456832,1.4177446,1.4,1.5508063,1.9078784,REST
4.107919,3.1257,1.852026,1.5132746,1.371131,1.24499,1.471394,3.7047267,3.3488805,3.6276715,1.6186414,1.4456832,1.423025,1.4247807,1.5748016,1.8668154,REST
4.8584976,3.0919251,1.8493242,1.4404861,1.356466,1.2489996,1.454304,3.9912405,3.383046,3.6448593,1.5732132,1.4916433,1.4106736,1.4387494,1.534601,1.8425525,REST
5.2139235,3.0413814,1.7776389,1.459452,1.3057564,1.2308533,1.419507,3.8288379,3.4241788,3.5993054,1.5378556,1.554027,1.3674794,1.4387494,1.56205,1.8547237,REST
5.0229473,2.3874671,1.6955825,1.4916433,1.3133925,1.2349089,1.3946326,3.369718,2.4576411,2.7046256,1.5572411,1.596872,1.4696939,1.4662879,1.4370108,1.7832555,REST
5.2215896,2.0856652,1.6340135,1.4474115,1.2825755,1.2961481,1.3435029,3.3361654,2.0892582,1.8748333,1.5716233,1.6062378,1.4747881,1.4071248,1.4106736,1.8275666,REST
4.7333922,2.017424,1.4949917,1.5066519,1.2980754,1.2961481,1.2747549,3.3451457,1.9924859,1.5636495,1.5443445,1.5572411,1.4899665,1.4017845,1.4508618,1.8601075,REST
4.584212,2.0940392,1.5394804,1.4781746,1.328533,1.3247641,1.2825755,3.5468295,1.9912307,1.5443445,1.555635,1.5049918,1.4696939,1.4159802,1.430035,1.8574176,REST
4.760252,2.046949,1.6170962,1.3820275,1.286468,1.3619839,1.2041595,3.6283605,1.9455076,1.5716233,1.5033296,1.4282857,1.3856406,1.4124447,1.4933184,1.8,REST
4.2555847,1.9987496,1.6109004,1.4035668,1.2806249,1.264911,1.2922847,3.7583241,1.942936,1.5588458,1.4849242,1.421267,1.371131,1.4933184,1.5116217,1.7663522,REST
4.3857727,2.1319005,1.6792855,1.336039,1.2825755,1.2489996,1.3076696,3.940812,1.9634154,1.5427248,1.5033296,1.4247807,1.3802173,1.4508618,1.5362291,1.8316659,REST
4.3714986,2.1633308,1.6703293,1.2884098,1.3019217,1.2186058,1.3379087,3.9768076,1.9899749,1.5874507,1.4645818,1.3784049,1.352775,1.4933184,1.5297059,1.8452642,REST
4.8497424,2.2770596,1.5827192,1.3038405,1.3038405,1.2247449,1.3583078,4.08901,2.0310097,1.596872,1.496663,1.3583078,1.3114877,1.5329709,1.566844,1.9672315,REST
2.5855367,6.5176682,1.9467922,1.4106736,1.2806249,1.2529964,1.317194,2.6767519,1.776232,5.1512136,1.9403608,1.5280707,1.3619839,1.454304,1.4781746,1.7663522,REST
2.2825425,6.4942284,1.762101,1.371131,1.2429802,1.2206556,1.2389512,2.2989128,1.6124516,2.0964255,1.5215124,1.4265343,1.3674794,1.3910427,1.43527,1.7874563,REST
2.3874671,6.4896073,1.7691807,1.2903488,1.2469964,1.2569805,1.2629331,1.9013153,1.6248077,2.0297782,1.4696939,1.423025,1.3928388,1.3874437,1.4577379,1.7649362,REST
2.4433582,6.4923034,1.7435596,1.2786711,1.2529964,1.2922847,1.286468,1.8748333,1.6462078,2.037155,1.4628739,1.3546218,1.37659,1.3802173,1.4611639,1.7378147,REST
2.4576411,2.2792542,1.4508618,1.195826,1.2589679,1.264911,1.2489996,1.4404861,1.5394804,1.5508063,1.4456832,1.372953,1.3416407,1.3509257,1.430035,1.7464249,REST
2.5894015,1.8748333,1.471394,1.2369317,1.2786711,1.2806249,1.2369317,1.4815532,1.4849242,1.5215124,1.43527,1.371131,1.3693064,1.36565,1.3583078,1.6217275,REST
2.5317976,1.852026,1.5083103,1.2409674,1.2708265,1.2884098,1.2083046,1.4679918,1.459452,1.5313393,1.4525839,1.3341664,1.37659,1.3946326,1.317194,1.5921683,REST
5.56956,2.0037465,1.5427248,1.2767146,1.2786711,1.3114877,1.2429802,2.462722,1.4815532,1.555635,1.4815532,1.471394,1.3802173,1.3910427,1.371131,1.776232,REST
5.67186,1.9157244,1.5572411,1.286468,1.3095801,1.3133925,1.2328827,2.5258663,1.5297059,1.5149257,1.4747881,1.4866068,1.4282857,1.43527,1.4628739,1.8343936,REST
5.7109547,1.8138357,1.5313393,1.3019217,1.2980754,1.3209845,1.2429802,2.5,1.5,1.4781746,1.4949917,1.496663,1.4089003,1.4106736,1.4474115,1.8668154,REST
5.724509,1.8493242,1.4696939,1.372953,1.3304135,1.2767146,1.2186058,2.48998,1.5378556,1.4662879,1.5083103,1.5132746,1.3693064,1.4035668,1.459452,1.8466185,REST
2.8991377,1.6278821,1.3838352,1.3490738,1.2429802,1.2165525,1.1683321,1.5459626,1.4764823,1.4949917,1.5016658,1.4456832,1.423025,1.4071248,1.37659,1.7190113,REST
2.6143832,1.6970563,1.3583078,1.3228756,1.264911,1.1979148,1.2267845,1.4124447,1.4474115,1.471394,1.4882876,1.4265343,1.3490738,1.3416407,1.3038405,1.6822604,REST
2.4454038,1.7406895,1.3820275,1.2629331,1.2308533,1.172604,1.2247449,1.4645818,1.5033296,1.473092,1.4611639,1.4,1.3619839,1.3304135,1.3304135,1.6155494,REST
2.339872,1.7029387,1.3472193,1.2549901,1.1575837,1.1811012,1.2806249,1.4611639,1.4628739,1.5329709,1.4525839,1.4142135,1.3416407,1.3341664,1.3114877,1.6446884,REST
4.117645,16.210953,4.2261095,1.6462078,2.0736442,2.6925824,6.922066,3.9736633,7.5917716,11.357157,2.4,1.8069311,2.4969983,7.703571,6.477268,2.2847319,INDEX FLEXION
4.5022216,18.78896,4.592385,1.9570385,2.4919872,2.9891472,8.506174,4.501111,7.297945,12.976132,3.2349653,1.9532025,2.791057,9.175511,7.6576757,2.3248656,INDEX FLEXION
5.867708,21.66218,8.750143,2.9664795,3.6857834,3.9147158,10.355916,5.111751,10.634143,18.572695,3.8942266,2.3579652,4.4988885,11.913228,10.4028845,2.7166157,INDEX FLEXION
6.61589,23.93627,9.753717,3.1384711,3.9956226,4.077377,12.400806,5.707013,12.34423,20.019615,4.339355,2.6739485,5.308013,13.095419,11.536247,2.9094672,INDEX FLEXION
7.4104657,26.21507,10.591978,3.3384128,4.2520585,4.0675545,12.427993,5.8129168,13.118117,20.682482,4.9734297,3.027375,5.416179,13.469967,12.22436,3.2840524,INDEX FLEXION
7.645914,26.60545,11.058933,3.2480764,4.040421,3.951582,12.684045,5.7879186,13.746818,20.767403,4.5961943,3.0463092,5.4726596,13.435587,13.101526,3.408812,INDEX FLEXION
7.209716,24.762877,8.195121,2.426932,3.0757113,3.1551545,12.995384,5.665245,12.345647,16.545393,4.236744,2.8222332,4.506662,11.96265,12.4978,3.434385,INDEX FLEXION
6.711185,22.992064,7.113719,2.2449944,2.5680733,2.829311,11.533213,5.658622,11.02225,14.139837,3.6945906,2.523886,3.5825968,10.580643,12.883323,3.2465365,INDEX FLEXION
6.192334,20.644007,5.968668,1.9824228,1.9052559,2.748636,11.917844,5.7467384,10.337795,12.877111,2.5806975,2.1,3.3211443,9.817077,13.692333,3.0323257,INDEX FLEXION
5.790941,18.19684,4.5227203,1.8425525,1.933908,2.832843,11.588356,5.5924053,9.28278,11.007043,2.431049,2.0012496,3.1208973,9.124692,13.2433,3.0049958,INDEX FLEXION
5.3221235,14.666629,3.9949968,1.7790446,1.8371173,2.758623,10.299515,5.640922,7.6746335,8.661697,2.0940392,1.8234583,2.6617663,8.018728,13.779332,2.832843,INDEX FLEXION
5.097058,11.58253,3.550352,1.6763054,1.7363756,2.5903668,9.708501,5.0304074,6.6801944,10.096534,4.180311,1.9078784,2.2649503,7.835496,12.618439,2.7367864,INDEX FLEXION
4.5907516,9.641836,2.9656365,1.5921683,1.5811388,2.4505103,8.288547,4.679209,4.9477267,11.199777,5.211046,1.954482,2.1177819,7.5029993,10.063299,2.4647515,INDEX FLEXION
4.2848573,5.7693152,2.688866,1.5033296,1.4,2.1897488,7.2649846,4.5513735,4.0187063,12.1445465,5.6453524,1.9052559,1.9874607,7.1421285,9.559812,2.2203603,INDEX FLEXION
9.923457,28.913664,9.358418,2.8266587,1.7088008,1.6462078,2.1725562,5.996249,5.9274783,16.473007,4.5491757,1.9646883,1.4983324,2.013703,2.6823497,2.3216374,REST
10.412972,25.603907,8.81164,2.6786191,1.7102631,1.5491934,2.0976176,5.9460073,5.762378,14.198239,2.641969,1.7248188,1.4628739,1.6431677,1.6822604,2.2616365,REST
9.886607,23.480843,7.138627,2.3558438,1.6263456,1.5378556,2.5495098,6.065888,4.4654226,13.318972,2.3280895,1.6777962,1.4177446,2.7856777,2.2315915,2.4300206,REST
9.473384,19.259672,5.8830266,1.951922,1.5427248,1.5099669,2.5592968,6.0609407,3.992493,11.589435,2.0976176,1.6507574,1.419507,2.758623,2.2549944,2.4135036,REST
9.3,19.557991,5.526301,1.9196354,1.5313393,1.473092,2.4566236,6.288084,3.6207733,10.548223,2.03347,1.5700318,1.4916433,2.7468164,2.2427661,2.5079873,REST
8.188101,19.602041,4.6674404,1.7944359,1.5066519,1.4335271,2.3505318,5.9895744,2.7676704,9.382164,1.8207141,1.56205,1.5083103,2.7649593,2.182888,2.4718413,REST
7.9921837,19.631353,4.5907516,1.8,1.5149257,1.3747727,1.6613247,5.7445626,2.74135,8.374963,1.7435596,1.4764823,1.4747881,1.4983324,1.5921683,2.2327113,REST
7.961784,19.263697,4.562346,1.7846568,1.5411035,1.3838352,1.6431677,5.8309517,2.4052026,7.5538073,1.7449929,1.4439529,1.4560219,1.4916433,1.5524175,2.1931713,REST
7.7846003,19.729673,4.347988,1.7088008,1.5198684,1.317194,1.5827192,6.1163716,2.53081,6.8139563,1.7421252,1.3838352,1.4124447,1.4577379,1.6477257,2.228228,REST
7.767239,18.717371,3.9414463,1.6926311,1.4106736,1.3133925,1.5763882,6.1306605,2.4566236,5.27731,1.7478559,1.4265343,1.3784049,1.3820275,1.6492423,2.1633308,REST
7.699675,16.259151,3.5672119,1.6294171,1.371131,1.3076696,1.6522712,6.262986,2.4197106,5.223026,1.7860571,1.473092,1.4282857,1.3619839,1.67332,2.1260293,REST
7.7846003,15.555385,3.1670175,1.6093477,1.3601471,1.3190906,1.6093477,6.1810193,2.406242,4.8887625,1.6970563,1.5427248,1.4404861,1.3472193,1.6217275,2.0904546,REST
7.470609,11.131038,2.5602734,1.5842979,1.4035668,1.3095801,1.6046807,5.7883506,2.013703,3.7027018,1.6507574,1.6232682,1.4265343,1.3152946,1.5700318,1.9403608,REST
8.277379,8.342961,2.3119256,1.6598192,1.4798648,1.3583078,1.6186414,5.897457,2.8451715,3.4568772,1.6537836,1.6248077,1.423025,1.3133925,1.5953057,2.0285463,REST
